Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
6973159, 0, 1, 0, 1, 1, 0, 
6986492, 1, 1, 0, 1, 1, 0, 
6999825, 1, 1, 0, 1, 1, 0, 
7013158, 1, 1, 0, 1, 1, 0, 
7026491, 1, 1, 0, 1, 1, 0, 
7039824, 1, 1, 0, 1, 1, 0, 
7053157, 1, 1, 0, 1, 1, 0, 
7066490, 1, 1, 0, 1, 1, 0, 
7079823, 1, 1, 0, 1, 1, 0, 
7093156, 1, 1, 0, 1, 1, 0, 
7106489, 1, 1, 0, 1, 1, 0, 
7119822, 1, 1, 0, 1, 1, 0, 
7133155, 1, 1, 0, 1, 1, 0, 
7146488, 1, 1, 0, 1, 1, 0, 
7159821, 1, 1, 0, 1, 1, 0, 
7173154, 1, 1, 0, 1, 1, 0, 
7186487, 1, 1, 0, 1, 1, 0, 
7199820, 1, 1, 0, 1, 1, 0, 
7213153, 1, 1, 0, 1, 1, 0, 
7226486, 1, 1, 0, 1, 1, 0, 
7239819, 1, 1, 0, 1, 1, 0, 
7253152, 1, 1, 0, 1, 1, 0, 
7266485, 1, 1, 0, 1, 1, 0, 
7279818, 1, 1, 0, 1, 1, 0, 
7293151, 1, 1, 0, 1, 1, 0, 
7306484, 1, 1, 0, 1, 1, 0, 
7319817, 1, 1, 0, 1, 1, 0, 
7333150, 0, 1, 0, 1, 1, 0, 
7346483, 0, 1, 0, 1, 1, 0, 
7359816, 0, 1, 0, 1, 1, 0, 
7373149, 0, 1, 0, 1, 1, 0, 
7386482, 0, 1, 0, 1, 1, 0, 
7399815, 0, 1, 0, 1, 1, 0, 
7413148, 0, 1, 0, 1, 1, 0, 
7426481, 0, 1, 0, 1, 1, 0, 
7439814, 0, 1, 0, 1, 1, 0, 
7453147, 0, 1, 0, 1, 1, 0, 
7466480, 0, 1, 0, 1, 1, 0, 
7479813, 0, 1, 0, 1, 1, 0, 
7493146, 0, 1, 0, 1, 1, 0, 
7506479, 0, 1, 0, 1, 1, 0, 
7519812, 0, 1, 0, 1, 1, 0, 
